country,exports,imports,income,gdpp
Grenada,23.8,49.2,11200,7370
Guatemala,25.8,36.3,6710,2830
Guinea,30.3,43.2,1190,648
Guinea-Bissau,14.9,35.2,1390,547
Guyana,51.4,79.1,5840,3040
Haiti,15.3,64.7,1500,662
Hungary,81.8,76.5,22300,13100
Iceland,53.4,43.3,38800,41900
India,22.6,27.1,4410,1350
Indonesia,24.3,22.4,8430,3110
Iran,24.4,19.4,17400,6530
Iraq,39.4,34.1,12700,4500
Ireland,103,86.5,45700,48700
Israel,35,32.9,29600,30600
Italy,25.2,27.2,36200,35800
Jamaica,31.3,49.6,8000,4680
Japan,15,13.6,35800,44500
Jordan,48.3,69,9470,3680
Kazakhstan,44.2,29.9,20100,9070
Kenya,20.7,33.6,2480,967
Kiribati,13.3,79.9,1730,1490
Kuwait,66.7,30.4,75200,38500
Kyrgyz Republic,51.6,81.7,2790,880
Lao,35.4,49.3,3980,1140
Latvia,53.7,55.1,18300,11300
Lebanon,35.8,60.2,16300,8860
Lesotho,39.4,101,2380,1170
Liberia,19.1,92.6,700,327
Libya,65.6,42.1,29600,12100
Lithuania,65.3,67.2,21100,12000
Luxembourg,175,142,91700,105000
"Macedonia, FYR",39.8,58.1,11400,4540
Madagascar,25,43,1390,413
Malawi,22.8,34.9,1030,459
Malaysia,86.9,71,21100,9070
Maldives,77.6,65.4,10500,7100
Mali,22.8,35.1,1870,708
Malta,153,154,28300,21100
Mauritania,50.7,61.2,3320,1200
Mauritius,51.2,62.2,15900,8000
"Micronesia, Fed. Sts.",23.5,81,3340,2860
Moldova,39.2,78.5,3910,1630
Mongolia,46.7,56.7,7710,2650
Montenegro,37,62.7,14000,6680
Morocco,32.2,43,6440,2830
Mozambique,31.5,46.2,918,419
Myanmar,0.109,0.0659,3720,988
Namibia,47.8,60.7,8460,5190
Nepal,9.58,36.4,1990,592
Netherlands,72,63.6,45500,50300
New Zealand,30.3,28,32300,33700
Niger,22.2,49.1,814,348
Nigeria,25.3,17.4,5150,2330
Norway,39.7,28.5,62300,87800
Oman,65.7,41.2,45300,19300
Pakistan,13.5,19.4,4280,1040
Panama,70,78.2,15400,8080
Paraguay,55.1,51.5,7290,3230
Peru,27.8,23.8,9960,5020
Philippines,34.8,36.6,5600,2130
Poland,40.1,42.1,21800,12600
Portugal,29.9,37.4,27200,22500
Qatar,62.3,23.8,125000,70300
Romania,32.6,38.8,17800,8230
Russia,29.2,21.1,23100,10700
Rwanda,12,30,1350,563
Samoa,29.2,53.1,5400,3450
Saudi Arabia,49.6,33,45400,19300
Senegal,24.9,40.3,2180,1000
Serbia,32.9,47.9,12700,5410
Seychelles,93.8,108,20400,10800
Sierra Leone,16.8,34.5,1220,399
Singapore,200,174,72100,46600
Slovak Republic,76.3,77.8,25200,16600
Slovenia,64.3,62.9,28700,23400
Solomon Islands,49.3,81.2,1780,1290
South Africa,28.6,27.4,12000,7280
South Korea,49.4,46.2,30400,22100
Spain,25.5,26.8,32500,30700
Sri Lanka,19.6,26.8,8560,2810
St. Vincent and the Grenadines,26.9,57.1,9920,6230
Sudan,19.7,17.2,3370,1480
Suriname,52.5,38.4,14200,8300
Sweden,46.2,40.7,42900,52100
Switzerland,64,53.3,55500,74600
Tajikistan,14.9,58.6,2110,738
Tanzania,18.7,29.1,2090,702
Thailand,66.5,60.8,13500,5080
Timor-Leste,2.2,27.8,1850,3600
Togo,40.2,57.3,1210,488
Tonga,12.4,60.3,4980,3550
Tunisia,50.5,55.3,10400,4140
Turkey,20.4,25.5,18000,10700
Turkmenistan,76.3,44.5,9940,4440
Uganda,17.1,28.6,1540,595
Ukraine,47.1,51.1,7820,2970
United Arab Emirates,77.7,63.6,57600,35000
United Kingdom,28.2,30.8,36200,38900
United States,12.4,15.8,49400,48400
Uruguay,26.3,25.4,17100,11900
Uzbekistan,31.7,28.5,4240,1380
Vanuatu,46.6,52.7,2950,2970
Venezuela,28.5,17.6,16500,13500
Vietnam,72,80.2,4490,1310
Yemen,30,34.4,4480,1310
Zambia,37,30.9,3280,1460
